date,total_usd_millions,cumulative_usd_millions
2025-04-28,591.2,38992.699999999946
2025-04-29,172.8,39165.49999999995
2025-04-30,-56.3,39109.199999999946
2025-05-01,422.5,39531.699999999946
2025-05-02,674.9,40206.59999999995
2025-05-03,0.0,40206.59999999995
2025-05-04,0.0,40206.59999999995
2025-05-05,425.5,40632.09999999995
2025-05-06,-85.7,40546.39999999995
2025-05-07,142.3,40688.69999999995
2025-05-08,117.4,40806.099999999955
2025-05-09,334.5,41140.599999999955
2025-05-10,0.0,41140.599999999955
2025-05-11,0.0,41140.599999999955
2025-05-12,5.2,41145.79999999995
2025-05-13,-91.4,41054.39999999995
2025-05-14,319.5,41373.89999999995
2025-05-15,114.9,41488.79999999995
2025-05-16,260.2,41748.99999999995
2025-05-17,0.0,41748.99999999995
2025-05-18,0.0,41748.99999999995
2025-05-19,667.4,42416.39999999995
2025-05-20,329.2,42745.59999999995
2025-05-21,607.1,43352.699999999946
2025-05-22,934.8,44287.49999999995
2025-05-23,211.7,44499.199999999946
2025-05-24,0.0,44499.199999999946
2025-05-25,0.0,44499.199999999946
2025-05-26,0.0,44499.199999999946
2025-05-27,385.4,44884.59999999995
2025-05-28,432.7,45317.299999999945
2025-05-29,-346.8,44970.49999999994
2025-05-30,-616.1,44354.39999999994
2025-05-31,0.0,44354.39999999994
2025-06-01,0.0,44354.39999999994
2025-06-02,-267.5,44086.89999999994
2025-06-03,375.1,44461.99999999994
2025-06-04,87.0,44548.99999999994
2025-06-05,-278.4,44270.59999999994
2025-06-06,-47.8,44222.79999999994
2025-06-07,0.0,44222.79999999994
2025-06-08,0.0,44222.79999999994
2025-06-09,386.2,44608.999999999935
2025-06-10,431.2,45040.19999999993
2025-06-11,164.6,45204.79999999993
2025-06-12,86.3,45291.09999999993
2025-06-13,322.7,45613.79999999993
2025-06-14,0.0,45613.79999999993
2025-06-15,0.0,45613.79999999993
2025-06-16,412.2,46025.99999999993
2025-06-17,216.5,46242.49999999993
2025-06-18,388.3,46630.79999999993
2025-06-19,0.0,46630.79999999993
2025-06-20,6.4,46637.19999999993
2025-06-21,0.0,46637.19999999993
2025-06-22,0.0,46637.19999999993
2025-06-23,350.6,46987.79999999993
2025-06-24,588.6,47576.39999999993
2025-06-25,547.7,48124.099999999926
2025-06-26,226.7,48350.79999999992
2025-06-27,501.2,48851.99999999992
2025-06-28,0.0,48851.99999999992
2025-06-29,0.0,48851.99999999992
2025-06-30,102.1,48954.09999999992
2025-07-01,-342.2,48611.89999999992
2025-07-02,407.8,49019.699999999924
2025-07-03,601.8,49621.49999999993
2025-07-04,0.0,49621.49999999993
2025-07-05,0.0,49621.49999999993
2025-07-06,0.0,49621.49999999993
2025-07-07,216.5,49837.99999999993
2025-07-08,80.1,49918.099999999926
2025-07-09,215.7,50133.79999999992
2025-07-10,1175.6,51309.39999999992
2025-07-11,1029.6,52338.99999999992
2025-07-12,0.0,52338.99999999992
2025-07-13,0.0,52338.99999999992
2025-07-14,297.4,52636.39999999992
2025-07-15,403.1,53039.49999999992
2025-07-16,799.4,53838.89999999992
2025-07-17,522.6,54361.49999999992
2025-07-18,363.5,54724.99999999992
2025-07-19,0.0,54724.99999999992
2025-07-20,0.0,54724.99999999992
